amount,merchant,country,velocity,is_fraud
208.55,fuel,IN,7,0
38.31,airline,IN,2,0
278.08,casino,BR,1,0
130.66,casino,RU,1,0
166.47,casino,IN,8,0
83.02,electronics,IN,8,0
2591.94,airline,GB,9,0
2642.55,casino,US,2,1
204.53,electronics,BR,4,0
77.86,grocer,GB,5,0
1623.55,grocer,IN,5,0
232.81,electronics,GB,9,0
305.62,fuel,IN,4,0
310.67,wire_transfer,BR,7,0
328.66,grocer,RU,3,0
348.14,grocer,BR,9,0
59.37,grocer,GB,8,0
250.06,airline,US,9,0
288.05,casino,US,2,0
116.38,electronics,US,2,0
42.0,grocer,IN,1,0
144.67,casino,GB,7,0
69.65,casino,BR,4,0
94.41,airline,BR,1,0
116.48,electronics,US,6,0
384.89,airline,BR,4,0
783.95,casino,IN,5,0
391.22,grocer,IN,1,0
333.47,casino,GB,6,0
101.75,wire_transfer,GB,2,0
124.96,wire_transfer,IN,3,0
299.5,casino,GB,6,0
3389.7,airline,BR,6,0
31.97,wire_transfer,GB,7,0
147.58,airline,US,9,0
300.11,wire_transfer,BR,6,0
11.96,casino,IN,4,0
186.78,grocer,BR,3,0
8966.6,fuel,NG,12,1
378.5,electronics,GB,2,1
375.74,fuel,IN,8,0
146.35,casino,RU,6,0
387.35,grocer,RU,4,0
10.5,fuel,GB,4,0
84.45,airline,GB,3,0
112.36,casino,NG,5,0
346.85,fuel,IN,6,0
1839.42,electronics,NG,12,1
202.53,wire_transfer,NG,9,0
14.4,electronics,RU,2,0
664.57,grocer,GB,3,0
220.25,electronics,IN,9,0
281.31,electronics,GB,8,0
331.31,airline,US,7,0
381.53,grocer,BR,2,0
40.43,casino,GB,1,0
133.2,wire_transfer,IN,7,0
387.42,grocer,IN,9,0
91.25,grocer,IN,5,0
338.37,casino,NG,5,0
7051.76,casino,IN,4,1
388.78,electronics,GB,7,0
126.03,grocer,US,3,0
270.24,electronics,BR,8,0
205.91,airline,US,8,0
89.77,grocer,NG,4,0
56.62,grocer,IN,1,0
53.42,casino,GB,9,0
30.69,electronics,US,1,0
126.6,wire_transfer,BR,7,0
386.55,wire_transfer,BR,6,0
98.84,electronics,US,5,0
312.09,casino,US,9,0
141.74,fuel,NG,2,0
241.75,fuel,US,8,0
232.63,wire_transfer,IN,6,0
178.0,casino,IN,1,0
185.77,airline,IN,2,0
725.07,electronics,BR,9,0
18.33,airline,GB,8,0
2021.88,wire_transfer,IN,2,1
100.6,casino,BR,9,0
367.34,wire_transfer,IN,1,0
28.23,airline,BR,5,0
362.72,grocer,IN,3,1
263.11,casino,GB,2,0
317.08,wire_transfer,US,7,0
124.93,electronics,RU,4,0
32.71,casino,US,9,0
535.89,casino,GB,7,0
277.75,wire_transfer,GB,8,0
6700.6,electronics,IN,8,1
188.67,wire_transfer,IN,8,0
153.99,fuel,GB,3,0
193.28,wire_transfer,US,9,0
305.72,electronics,GB,2,0
181.55,electronics,US,1,0
155.69,grocer,GB,6,0
260.68,grocer,GB,5,0
332.78,electronics,BR,1,0
87.83,grocer,BR,5,0
96.9,grocer,BR,2,0
215.35,wire_transfer,GB,3,0
142.42,wire_transfer,GB,2,0
381.45,electronics,US,8,0
3861.08,airline,IN,22,1
294.6,airline,US,9,0
332.49,wire_transfer,BR,3,0
310.92,fuel,IN,1,0
1536.14,casino,BR,8,0
78.06,wire_transfer,US,6,0
175.91,electronics,BR,6,0
200.01,grocer,RU,7,0
329.29,grocer,IN,2,0
179.47,wire_transfer,GB,8,0
348.27,airline,BR,1,0
146.6,grocer,GB,3,0
176.39,wire_transfer,GB,6,0
516.59,airline,BR,6,0
56.8,wire_transfer,IN,5,0
294.8,casino,BR,2,0
179.62,wire_transfer,RU,8,0
31.47,grocer,BR,6,0
220.9,fuel,IN,3,0
50.3,fuel,GB,8,0
3825.07,grocer,GB,13,1
211.23,fuel,US,6,0
272.68,fuel,GB,7,1
3393.01,fuel,IN,3,0
139.72,grocer,RU,5,0
1388.02,casino,US,3,0
70.14,casino,IN,1,0
20.09,wire_transfer,IN,4,0
256.32,wire_transfer,IN,5,0
274.63,wire_transfer,US,1,0
186.85,airline,GB,6,0
3911.35,casino,IN,9,0
50.76,grocer,GB,1,0
246.92,airline,GB,6,0
398.4,electronics,IN,1,0
183.98,grocer,IN,1,0
337.45,casino,IN,1,0
353.22,airline,BR,1,0
79.47,electronics,US,9,0
330.47,fuel,US,2,0
136.96,fuel,NG,9,0
17.49,casino,BR,8,0
903.21,fuel,RU,7,0
121.1,wire_transfer,BR,5,0
133.83,casino,BR,5,1
275.84,airline,BR,4,0
69.86,fuel,BR,4,0
92.37,wire_transfer,RU,4,1
189.7,wire_transfer,US,3,0
399.25,airline,BR,3,0
219.42,casino,IN,8,0
224.12,airline,IN,4,0
192.96,airline,IN,2,0
358.51,fuel,IN,5,0
67.83,fuel,IN,18,1
110.11,fuel,GB,1,0
255.9,airline,BR,8,0
4.06,electronics,GB,8,0
385.64,grocer,US,4,0
374.79,electronics,GB,3,0
334.81,wire_transfer,GB,5,0
228.05,airline,IN,8,0
198.58,airline,RU,4,0
292.99,grocer,GB,6,0
303.4,electronics,BR,9,0
39.96,airline,RU,4,0
4463.23,casino,RU,12,1
49.05,wire_transfer,BR,9,0
3171.43,airline,IN,4,0
62.97,electronics,IN,9,0
321.19,wire_transfer,GB,2,0
145.99,grocer,US,9,0
215.59,grocer,BR,4,0
359.76,electronics,US,3,0
24.98,wire_transfer,IN,1,0
298.83,electronics,US,6,0
25.98,grocer,BR,5,0
306.8,airline,RU,7,0
1758.99,wire_transfer,GB,6,0
1815.01,grocer,GB,1,0
288.2,fuel,BR,4,0
77.02,grocer,US,7,0
3600.55,grocer,US,1,0
349.14,electronics,US,8,0
345.76,fuel,IN,6,0
327.72,wire_transfer,GB,9,0
26.26,wire_transfer,NG,7,0
139.08,casino,BR,6,0
121.36,fuel,BR,4,0
322.7,electronics,BR,9,0
103.49,electronics,US,6,0
77.81,grocer,US,4,0
269.24,airline,GB,5,0
374.99,wire_transfer,NG,8,0
282.1,casino,GB,6,0
214.39,airline,IN,9,0
321.52,fuel,IN,6,0
345.91,airline,US,9,0
168.2,fuel,IN,7,0
221.16,airline,RU,8,0
197.26,fuel,IN,3,0
366.93,casino,US,1,0
327.56,electronics,US,3,0
283.45,airline,BR,1,0
247.37,grocer,BR,1,0
8.66,grocer,IN,9,0
322.85,grocer,US,9,0
211.53,electronics,IN,2,0
226.87,airline,NG,2,0
3134.51,electronics,BR,9,0
281.73,wire_transfer,BR,6,0
743.3,fuel,US,4,0
227.58,wire_transfer,US,5,1
15.09,grocer,RU,4,0
285.66,airline,US,3,0
340.08,electronics,IN,3,0
33.21,grocer,IN,2,0
137.56,airline,BR,1,0
181.32,electronics,BR,3,0
36.11,wire_transfer,GB,2,0
285.25,airline,BR,6,0
124.69,grocer,IN,3,0
223.68,grocer,US,2,0
240.02,grocer,BR,5,0
290.49,casino,GB,9,0
57.26,fuel,BR,2,0
121.3,airline,IN,4,0
247.43,airline,GB,1,0
248.84,electronics,IN,6,0
261.11,airline,IN,4,0
160.5,casino,BR,4,0
314.77,casino,GB,9,0
12.71,electronics,GB,5,0
339.42,fuel,BR,5,0
286.66,electronics,US,8,0
369.55,casino,BR,1,0
358.41,grocer,US,4,0
259.51,airline,BR,7,0
90.36,electronics,GB,6,0
236.26,grocer,IN,8,0
384.77,airline,GB,5,0
209.4,electronics,US,8,0
324.45,wire_transfer,IN,2,0
393.59,casino,GB,3,0
185.9,fuel,GB,7,0
353.47,electronics,BR,1,0
301.43,casino,US,2,0
147.59,airline,US,8,0
239.59,airline,US,6,0
325.87,casino,IN,2,0
96.95,wire_transfer,IN,3,0
56.87,electronics,GB,9,0
399.96,airline,BR,3,0
248.53,electronics,US,3,0
225.51,wire_transfer,BR,8,0
196.5,fuel,US,5,0
3167.1,casino,BR,3,1
148.01,wire_transfer,US,8,0
768.7,airline,GB,1,1
327.06,fuel,US,4,0
141.55,fuel,BR,3,0
322.57,casino,IN,9,0
1453.48,fuel,US,7,1
3521.37,fuel,GB,3,0
305.07,fuel,BR,5,0
32.06,electronics,US,9,0
351.17,airline,BR,1,0
39.07,grocer,RU,9,0
3369.45,airline,IN,6,0
341.26,grocer,US,2,0
8.48,electronics,NG,8,0
165.84,airline,GB,9,1
34.8,grocer,GB,7,0
302.58,wire_transfer,US,2,0
1888.14,wire_transfer,RU,4,1
93.12,grocer,US,6,0
154.32,wire_transfer,GB,3,0
244.91,wire_transfer,IN,4,0
165.86,grocer,GB,2,0
292.54,airline,BR,3,0
100.77,wire_transfer,IN,1,0
122.06,wire_transfer,GB,7,0
359.37,electronics,RU,2,0
30.26,airline,US,6,0
2446.17,electronics,GB,2,0
2949.92,electronics,NG,6,1
170.58,airline,GB,2,0
82.87,electronics,IN,2,0
381.46,grocer,GB,7,0
23.9,grocer,GB,1,0
67.21,fuel,RU,6,0
108.97,airline,US,7,0
285.5,electronics,US,8,0
344.03,airline,GB,2,0
47.9,grocer,US,1,0
154.43,casino,US,7,0
366.51,casino,US,6,0
22.96,electronics,US,2,0
3184.7,casino,US,8,0
5423.22,wire_transfer,NG,2,1
318.8,grocer,BR,4,0
278.0,grocer,IN,7,0
43.37,electronics,GB,8,0
912.54,fuel,US,9,0
2050.45,casino,US,3,0
237.57,fuel,GB,5,0
320.73,airline,IN,8,0
82.68,fuel,US,2,0
163.79,electronics,GB,5,0
725.52,wire_transfer,IN,1,0
933.97,electronics,IN,9,0
7524.73,casino,RU,2,1
317.94,fuel,US,3,0
275.14,casino,NG,5,0
398.87,fuel,BR,2,0
133.96,grocer,BR,3,0
290.32,wire_transfer,BR,7,0
76.49,grocer,GB,4,0
353.35,airline,US,7,0
354.09,electronics,US,6,0
138.93,electronics,IN,5,0
89.17,grocer,IN,8,0
399.84,fuel,NG,4,0
367.07,casino,GB,7,0
338.4,wire_transfer,IN,6,0
280.82,casino,NG,4,0
388.21,electronics,GB,1,0
89.09,airline,US,4,0
72.63,grocer,IN,1,0
58.38,grocer,IN,6,1
235.23,fuel,IN,3,0
256.43,fuel,IN,9,0
3233.17,electronics,GB,5,0
72.73,casino,BR,1,0
323.91,electronics,US,3,0
140.03,wire_transfer,US,6,0
101.32,grocer,IN,1,0
4241.16,wire_transfer,RU,13,1
345.89,fuel,GB,8,0
119.37,grocer,US,6,0
293.33,airline,US,8,0
262.15,fuel,BR,1,0
77.61,wire_transfer,IN,5,0
158.38,fuel,BR,1,0
119.23,fuel,BR,2,0
3192.85,wire_transfer,NG,22,1
156.24,airline,BR,3,0
187.09,casino,IN,1,0
40.49,casino,BR,4,0
327.73,casino,BR,4,0
361.31,grocer,GB,8,1
3899.79,grocer,GB,7,0
82.36,casino,GB,5,0
323.32,casino,BR,6,0
367.03,grocer,BR,7,0
233.91,grocer,NG,2,0
3568.49,electronics,IN,8,0
70.54,grocer,BR,7,0
96.56,airline,IN,1,0
125.76,fuel,US,3,0
310.06,casino,BR,2,0
329.94,grocer,IN,9,0
284.41,fuel,US,4,0
24.94,airline,US,4,0
203.04,wire_transfer,US,1,0
179.55,casino,RU,9,0
358.01,airline,US,1,0
229.76,wire_transfer,NG,4,0
164.98,electronics,US,3,0
5.37,wire_transfer,IN,5,0
140.79,airline,BR,9,0
42.72,casino,IN,5,0
27.41,airline,RU,5,0
2745.28,grocer,GB,7,0
289.07,airline,IN,7,0
234.04,airline,NG,4,0
191.34,casino,RU,5,1
350.84,electronics,US,3,0
224.49,wire_transfer,IN,2,0
348.83,airline,IN,5,0
48.88,electronics,US,4,0
1774.01,fuel,US,3,0
394.9,fuel,BR,6,0
34.16,airline,GB,1,0
7041.78,casino,NG,14,1
386.2,casino,US,4,0
3611.22,grocer,GB,1,0
278.02,grocer,GB,7,0
27.98,electronics,IN,9,0
355.41,electronics,RU,6,0
362.94,fuel,US,4,0
294.16,grocer,GB,6,0
151.33,casino,US,1,0
9.86,electronics,BR,7,0
281.34,airline,US,7,0
109.45,electronics,GB,2,0
114.52,fuel,BR,4,0
389.3,airline,BR,3,0
2503.09,casino,IN,1,1
61.36,wire_transfer,US,2,0
183.79,electronics,RU,1,0
17.7,electronics,IN,2,0
20.26,airline,GB,6,0
1365.91,airline,IN,3,0
183.7,electronics,BR,3,0
25.34,grocer,NG,7,0
228.44,airline,BR,1,0
3018.2,electronics,BR,2,0
27.21,wire_transfer,US,9,0
226.87,casino,RU,9,0
174.27,airline,BR,7,0
357.04,wire_transfer,US,3,0
199.34,airline,BR,4,0
203.76,electronics,BR,4,0
230.07,electronics,BR,6,0
262.04,grocer,BR,9,1
317.13,casino,RU,9,0
380.24,fuel,US,8,0
240.78,wire_transfer,IN,8,0
90.26,casino,IN,9,0
358.96,grocer,BR,5,0
372.23,fuel,BR,6,0
370.8,electronics,US,8,0
884.69,casino,US,7,0
204.32,wire_transfer,NG,3,0
156.19,casino,IN,7,0
277.62,airline,BR,5,0
166.27,wire_transfer,IN,9,0
374.33,fuel,GB,5,0
877.62,casino,GB,9,0
47.93,casino,BR,7,0
2322.05,grocer,BR,9,0
23.12,fuel,IN,5,0
26.69,casino,GB,1,0
247.21,wire_transfer,GB,9,0
319.14,electronics,US,7,0
274.69,grocer,NG,5,0
3497.6,wire_transfer,GB,6,0
242.15,airline,GB,8,0
76.42,electronics,US,1,0
53.77,grocer,IN,6,0
543.79,wire_transfer,NG,5,0
144.52,casino,IN,4,0
314.93,grocer,BR,6,0
134.09,casino,GB,9,0
301.35,wire_transfer,US,6,0
2609.32,wire_transfer,US,6,0
47.12,grocer,IN,9,0
321.52,airline,US,4,0
40.19,wire_transfer,NG,2,0
86.84,fuel,US,9,0
3068.95,wire_transfer,US,3,0
35.12,casino,NG,8,1
181.55,grocer,IN,7,0
257.29,wire_transfer,US,2,0
117.35,airline,US,8,0
14.27,fuel,GB,7,1
119.4,wire_transfer,IN,6,0
350.16,grocer,US,7,0
1496.89,fuel,IN,7,0
912.84,fuel,IN,2,0
341.2,wire_transfer,BR,9,0
101.77,airline,BR,6,0
41.82,airline,GB,8,0
123.66,airline,IN,7,0
314.69,airline,BR,6,0
351.4,airline,IN,8,0
243.44,casino,GB,4,0
675.26,casino,US,1,1
308.14,casino,US,5,0
2099.57,electronics,IN,4,0
343.15,electronics,US,6,0
339.5,casino,GB,3,0
379.59,wire_transfer,GB,8,0
305.07,airline,IN,4,0
8243.35,grocer,RU,21,1
209.51,casino,IN,9,0
152.65,casino,US,5,0
2258.94,electronics,IN,8,0
353.05,grocer,GB,9,0
76.39,wire_transfer,US,4,0
47.11,fuel,BR,3,0
98.98,fuel,GB,9,0
1258.48,wire_transfer,NG,5,1
3020.71,fuel,US,8,0
193.7,casino,BR,3,0
74.39,fuel,IN,6,0
29.4,grocer,GB,1,0
2215.69,casino,GB,2,0
2559.33,grocer,US,8,0
2341.43,casino,BR,7,0
212.87,electronics,BR,6,0
305.09,electronics,US,3,0
364.21,airline,BR,4,0
10.66,casino,NG,3,1
171.58,casino,IN,7,0
396.74,electronics,GB,9,0
149.34,airline,IN,6,0
56.95,wire_transfer,US,4,0
66.39,airline,BR,9,0
22.72,grocer,US,3,0
37.08,grocer,IN,1,0
1842.32,wire_transfer,IN,1,0
256.84,wire_transfer,GB,9,0
240.61,casino,GB,3,0
262.7,airline,NG,7,0
235.26,grocer,US,9,0
366.17,fuel,IN,4,0
3.85,casino,US,2,0
48.57,casino,IN,5,0
2427.41,electronics,IN,8,0
2135.09,wire_transfer,BR,4,0
127.66,wire_transfer,NG,5,0
270.13,casino,US,3,0
357.94,electronics,GB,4,0
107.63,casino,GB,6,0
368.23,casino,BR,1,0
18.82,electronics,IN,5,0
3697.62,casino,GB,3,0
192.37,electronics,IN,3,0
208.25,grocer,US,4,0
145.92,casino,GB,5,0
246.01,electronics,BR,4,0
147.3,fuel,BR,3,0
326.05,casino,GB,7,0
320.41,grocer,BR,3,0
357.52,electronics,IN,5,0
571.75,grocer,GB,4,0
252.69,airline,IN,6,0
324.39,grocer,BR,6,0
1116.25,airline,GB,6,0
310.35,electronics,US,5,0
3525.73,electronics,IN,7,0
66.48,wire_transfer,IN,5,0
159.39,wire_transfer,IN,9,0
75.19,wire_transfer,GB,5,0
33.87,grocer,US,2,0
23.42,grocer,US,5,0
372.77,fuel,GB,5,1
211.64,wire_transfer,US,6,0
191.51,casino,RU,8,0
2341.44,wire_transfer,BR,7,0
125.25,grocer,GB,8,0
63.98,airline,GB,5,0
368.99,airline,RU,1,0
239.61,fuel,IN,7,0
101.46,electronics,BR,4,0
97.35,airline,IN,9,0
341.69,grocer,IN,8,0
249.86,fuel,US,1,0
388.99,wire_transfer,GB,8,0
61.97,electronics,IN,5,0
149.82,airline,US,2,0
601.74,casino,US,8,0
1300.29,grocer,US,4,0
1289.78,electronics,NG,2,0
2102.17,airline,IN,3,0
375.09,electronics,IN,5,0
3509.17,fuel,US,7,0
111.89,grocer,GB,1,0
275.99,fuel,US,3,0
136.69,grocer,NG,6,0
317.0,airline,GB,9,0
322.6,grocer,GB,7,0
359.67,casino,BR,5,0
227.55,wire_transfer,IN,8,0
365.96,casino,US,3,0
217.56,wire_transfer,BR,3,0
146.9,wire_transfer,IN,2,0
156.22,casino,BR,3,0
257.08,grocer,US,3,0
44.61,casino,US,7,0
281.12,fuel,IN,2,0
526.32,casino,US,24,1
148.89,casino,IN,1,0
33.02,grocer,US,4,0
211.42,casino,GB,9,0
256.17,wire_transfer,BR,7,0
73.8,wire_transfer,IN,3,0
373.54,airline,IN,7,0
290.9,electronics,GB,9,0
384.74,grocer,BR,1,0
208.01,grocer,RU,5,1
127.33,casino,IN,9,0
956.97,fuel,IN,3,0
1299.48,grocer,IN,7,0
32.73,fuel,BR,8,0
231.34,grocer,IN,7,0
308.82,electronics,BR,2,0
261.81,wire_transfer,US,7,0
129.09,casino,IN,4,0
398.95,fuel,NG,7,0
54.61,casino,US,7,0
174.93,electronics,GB,9,0
229.39,fuel,GB,2,0
274.53,wire_transfer,US,7,0
129.65,airline,US,3,0
396.08,electronics,GB,1,0
274.77,grocer,US,1,0
60.78,grocer,IN,6,0
181.12,wire_transfer,GB,9,0
300.64,wire_transfer,GB,1,0
2296.48,airline,US,4,0
23.13,grocer,US,7,0
365.32,grocer,US,5,0
94.01,airline,US,8,0
76.19,casino,BR,1,0
247.42,wire_transfer,NG,10,1
2204.51,electronics,IN,1,0
1212.1,wire_transfer,BR,3,0
384.32,electronics,GB,4,0
126.33,casino,BR,3,0
217.46,airline,GB,9,1
363.78,airline,GB,2,0
826.19,wire_transfer,GB,1,0
1890.54,wire_transfer,BR,5,0
54.36,casino,IN,4,0
12.38,fuel,BR,9,0
260.53,electronics,BR,8,0
14.83,airline,US,7,0
82.73,electronics,GB,8,0
3595.31,casino,US,7,0
375.78,casino,US,2,0
18.88,wire_transfer,RU,1,1
253.0,electronics,IN,7,0
115.79,casino,IN,1,0
2068.88,wire_transfer,US,9,0
375.26,electronics,GB,7,0
182.56,electronics,GB,2,0
363.05,grocer,US,2,0
35.95,electronics,GB,9,0
365.08,fuel,GB,3,0
168.99,airline,BR,3,0
82.73,grocer,IN,8,0
323.37,fuel,BR,4,0
165.24,fuel,US,9,0
328.41,fuel,GB,1,0
341.82,airline,IN,2,0
2261.64,wire_transfer,GB,1,1
148.69,electronics,US,9,0
50.57,casino,IN,7,0
245.6,electronics,US,5,0
105.34,fuel,IN,8,0
198.02,wire_transfer,GB,5,0
11.55,wire_transfer,US,4,0
1890.55,grocer,GB,4,0
29.0,grocer,IN,2,0
290.31,fuel,US,4,0
269.64,wire_transfer,US,3,0
357.04,electronics,IN,7,0
209.39,casino,IN,9,0
3520.1,casino,IN,1,1
214.64,fuel,BR,2,0
282.7,airline,US,7,0
1737.7,fuel,IN,9,0
314.41,electronics,US,9,0
4900.45,casino,RU,11,1
3359.7,fuel,NG,1,0
209.89,wire_transfer,US,2,0
771.17,grocer,IN,5,0
81.82,electronics,IN,2,0
47.56,fuel,NG,9,0
58.34,casino,IN,4,0
357.11,fuel,US,1,0
44.16,electronics,BR,3,0
2666.09,casino,BR,6,0
285.73,electronics,US,3,0
280.04,wire_transfer,IN,8,0
917.4,airline,IN,7,0
1589.18,electronics,IN,8,0
3681.81,wire_transfer,NG,2,1
286.28,airline,US,9,0
96.95,electronics,GB,7,0
278.24,casino,BR,6,0
265.72,grocer,BR,8,0
179.2,grocer,BR,2,0
328.31,grocer,US,4,0
3651.72,fuel,US,3,0
247.0,wire_transfer,GB,6,0
272.46,wire_transfer,BR,6,0
245.37,airline,GB,1,0
23.14,grocer,IN,5,1
281.48,wire_transfer,IN,7,0
86.06,fuel,GB,9,0
3423.87,fuel,GB,1,0
289.09,fuel,BR,2,0
344.34,casino,BR,3,0
328.39,fuel,GB,7,1
339.03,electronics,IN,9,0
17.07,grocer,IN,8,0
292.61,electronics,IN,9,0
718.41,wire_transfer,US,9,0
23.0,electronics,US,8,0
294.06,airline,IN,3,0
600.79,wire_transfer,IN,5,1
3312.02,electronics,IN,2,0
313.94,airline,IN,5,0
2231.83,airline,NG,3,1
73.96,airline,US,2,0
329.05,electronics,BR,4,0
68.58,grocer,IN,5,0
68.7,electronics,IN,9,0
157.25,grocer,BR,5,0
272.04,grocer,NG,9,0
1954.43,airline,IN,5,0
262.43,wire_transfer,GB,4,0
397.3,wire_transfer,US,1,1
40.88,airline,BR,4,0
15.55,casino,US,4,0
283.81,electronics,GB,3,0
102.83,wire_transfer,US,8,0
171.94,airline,IN,3,0
26.83,airline,US,5,0
391.81,fuel,BR,8,0
173.64,electronics,US,5,0
229.4,grocer,BR,8,0
373.29,fuel,IN,6,0
207.12,electronics,RU,7,0
325.29,grocer,GB,7,0
193.86,airline,IN,5,0
383.61,grocer,IN,8,0
82.84,wire_transfer,BR,4,0
44.49,grocer,BR,8,0
78.85,electronics,GB,7,0
124.48,grocer,BR,1,0
288.96,wire_transfer,GB,9,0
349.95,grocer,GB,1,0
9.59,fuel,US,3,0
8218.23,casino,US,1,1
199.86,grocer,GB,4,0
392.91,grocer,IN,9,0
317.65,airline,GB,2,0
167.23,electronics,GB,4,0
41.79,fuel,BR,1,0
4.88,electronics,RU,8,0
256.65,fuel,BR,3,0
73.64,wire_transfer,US,5,0
95.78,casino,US,6,0
2227.15,airline,GB,1,0
274.73,electronics,RU,3,0
594.5,electronics,GB,5,0
303.85,casino,US,3,0
206.93,wire_transfer,GB,8,0
81.1,fuel,IN,2,0
295.62,fuel,BR,2,0
356.41,fuel,BR,7,0
79.27,fuel,IN,6,0
25.74,electronics,BR,7,0
354.79,casino,GB,9,0
343.08,casino,GB,8,0
292.55,fuel,GB,6,0
371.14,electronics,NG,1,0
7102.57,casino,RU,8,1
277.88,fuel,GB,6,0
38.11,fuel,IN,8,0
11.72,wire_transfer,GB,7,0
2656.52,wire_transfer,US,2,0
213.31,wire_transfer,IN,9,0
274.5,wire_transfer,IN,1,0
1710.37,airline,BR,8,0
71.76,casino,US,4,0
216.77,wire_transfer,GB,4,0
2212.84,grocer,US,6,1
211.62,electronics,IN,6,0
3311.67,fuel,NG,8,1
73.17,grocer,NG,3,1
199.54,airline,US,7,0
54.55,wire_transfer,BR,1,0
348.97,electronics,IN,6,0
195.49,electronics,BR,5,0
1503.38,electronics,GB,6,0
20.83,fuel,BR,3,0
389.34,fuel,GB,4,0
2468.29,fuel,IN,4,0
128.14,electronics,IN,9,1
50.35,fuel,BR,8,0
388.12,wire_transfer,IN,5,0
377.72,casino,NG,8,0
192.63,airline,US,1,0
179.5,casino,US,4,0
374.39,grocer,US,9,0
383.13,fuel,RU,8,0
377.47,electronics,IN,3,0
155.67,airline,IN,5,0
715.36,wire_transfer,BR,7,0
322.66,wire_transfer,RU,7,0
36.26,casino,BR,6,0
3122.01,wire_transfer,BR,5,0
284.68,fuel,GB,3,0
197.25,casino,IN,5,0
91.36,airline,GB,5,0
190.07,electronics,IN,3,0
99.41,electronics,IN,2,0
193.23,wire_transfer,IN,8,0
150.53,airline,US,3,0
185.5,fuel,IN,1,0
365.02,airline,IN,9,0
79.14,casino,US,3,0
3376.56,airline,IN,6,0
329.68,airline,IN,8,0
986.9,fuel,GB,9,0
211.21,electronics,US,8,0
54.23,airline,IN,6,0
395.06,fuel,IN,5,1
181.77,airline,GB,5,1
305.68,electronics,US,7,0
7303.05,wire_transfer,NG,10,1
313.38,casino,NG,4,0
38.13,casino,IN,6,0
3210.89,grocer,US,1,0
